t_s,enc_as5600_deg,acc_deg,clar_counts,clar_deg,cmd_sps,cmd_dir,cmd_vel
2.836643,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.837644,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.838645,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.839646,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.840647,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.841648,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.842649,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.843650,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.844651,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.845652,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.846653,257.8711,-0.175781,0,0.0000,0.00,1,0.00
2.854923,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.855924,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.856924,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.857925,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.858925,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.859926,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.860927,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.861928,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.862929,258.1348,0.087891,0,0.0000,0.00,1,0.00
2.863930,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.864931,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.865932,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.866933,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.867934,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.868935,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.869936,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.870937,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.871938,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.872939,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.873940,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.874941,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.875942,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.876943,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.877944,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.878945,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.879945,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.880946,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.881946,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.882947,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.883948,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.884949,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.885950,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.886951,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.887952,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.888953,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.889954,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.890955,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.891956,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.892957,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.893958,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.894959,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.895960,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.896961,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.897962,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.898963,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.899964,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.900965,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.901966,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.902967,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.903968,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.911490,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.912491,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.913492,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.914493,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.915494,258.0469,0.000000,0,0.0000,0.00,1,0.00
2.916495,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.917496,257.9590,-0.087891,0,0.0000,0.00,1,0.00
2.918497,257.9590,-0.087891,0,0.0000,0.00,1,0.00
