t_s,accumulated_rad,input_rad_s
23.770678,-0.004601944545318489,0.0
23.771681,-0.004601944545318489,0.0
23.772682,-0.0030679572124481524,0.0
23.773684,-0.0030679572124481524,0.0
23.774687,-0.0030679572124481524,0.0
23.775688,-0.0030679572124481524,0.0
23.77669,-0.004601944545318489,0.0
23.777691,-0.004601944545318489,0.0
23.778692,-0.004601944545318489,0.0
23.779694,-0.0030679572124481524,0.0
23.780697,-0.0030679572124481524,0.0
23.781698,-0.0030679572124481524,0.0
23.7827,-0.0030679572124481524,0.0
23.783703,-0.0030679572124481524,0.0
23.784704,-0.0030679572124481524,0.0
23.785706,-0.004601944545318489,0.0
23.794052,-0.004601944545318489,0.0
23.795053,-0.004601944545318489,0.0
23.796055,-0.0030679572124481524,0.0
23.797056,-0.0030679572124481524,0.0
23.798058,-0.004601944545318489,0.0
23.799061,-0.0030679572124481524,0.0
23.800062,-0.004601944545318489,0.0
23.801064,-0.004601944545318489,0.0
23.802067,-0.0030679572124481524,0.0
23.803068,-0.0030679572124481524,0.0
23.80407,-0.0030679572124481524,0.0
23.805071,-0.0030679572124481524,0.0
23.806072,-0.0030679572124481524,0.0
23.807074,-0.0030679572124481524,0.0
23.808077,-0.0030679572124481524,0.0
23.809078,-0.0030679572124481524,0.0
23.81008,-0.004601944545318489,0.0
23.811083,-0.004601944545318489,0.0
23.812084,-0.004601944545318489,0.0
23.813086,-0.0030679572124481524,0.0
23.814089,-0.0030679572124481524,0.0
23.81509,-0.0030679572124481524,0.0
23.816092,-0.0030679572124481524,0.0
23.817095,-0.0030679572124481524,0.0
23.818096,-0.0030679572124481524,0.0
23.819098,-0.0030679572124481524,0.0
23.820099,-0.0030679572124481524,0.0
23.8211,-0.0030679572124481524,0.0
23.822102,-0.0030679572124481524,0.0
23.823105,-0.004601944545318489,0.0
23.824106,-0.004601944545318489,0.0
23.825108,-0.0030679572124481524,0.0
23.826111,-0.0030679572124481524,0.0
23.827112,-0.004601944545318489,0.0
23.828114,-0.0030679572124481524,0.0
23.829117,-0.0030679572124481524,0.0
23.830118,-0.0030679572124481524,0.0
23.83112,-0.0030679572124481524,0.0
23.832123,-0.0030679572124481524,0.0
23.833124,-0.004601944545318489,0.0
23.834126,-0.0030679572124481524,0.0
23.835127,-0.0030679572124481524,0.0
23.836128,-0.004601944545318489,0.0
23.83713,-0.004601944545318489,0.0
23.838133,-0.0030679572124481524,0.0
23.839134,-0.0030679572124481524,0.0
23.840136,-0.004601944545318489,0.0
23.841139,-0.004601944545318489,0.0
23.84214,-0.004601944545318489,0.0
23.843142,-0.004601944545318489,0.0
23.850552,-0.0030679572124481524,0.0
23.851555,-0.0030679572124481524,0.0
23.852556,-0.0030679572124481524,0.0
23.853558,-0.004601944545318489,0.0
23.854561,-0.004601944545318489,0.0
23.855562,-0.004601944545318489,0.0
23.856564,-0.004601944545318489,0.0
23.857567,-0.004601944545318489,0.0
23.858568,-0.004601944545318489,0.0
23.85957,-0.004601944545318489,0.0
23.860573,-0.0030679572124481524,0.0
23.861574,-0.0030679572124481524,0.0
23.862576,-0.004601944545318489,0.0
23.863577,-0.004601944545318489,0.0
23.864578,-0.0030679572124481524,0.0
23.86558,-0.004601944545318489,0.0
23.866583,-0.0030679572124481524,0.0
23.867584,-0.0030679572124481524,0.0
23.868586,-0.0030679572124481524,0.0
23.869589,-0.0030679572124481524,0.0
23.87059,-0.0030679572124481524,0.0
23.871592,-0.0030679572124481524,0.0
23.872595,-0.0030679572124481524,0.0
23.873596,-0.004601944545318489,0.0
23.874598,-0.004601944545318489,0.0
23.875601,-0.0030679572124481524,0.0
23.876602,-0.004601944545318489,0.0
23.877604,-0.004601944545318489,0.0
23.878605,-0.004601944545318489,0.0
23.879606,-0.0030679572124481524,0.0
23.880608,-0.0030679572124481524,0.0
23.881611,-0.004601944545318489,0.0
23.882612,-0.0030679572124481524,0.0
23.883614,-0.0030679572124481524,0.0
23.884617,-0.0030679572124481524,0.0
23.885618,-0.0030679572124481524,0.0
23.88662,-0.004601944545318489,0.0
23.887623,-0.004601944545318489,0.0
23.888624,-0.004601944545318489,0.0
23.889626,-0.004601944545318489,0.0
23.890629,-0.004601944545318489,0.0
23.89163,-0.0030679572124481524,0.0
23.892632,-0.0030679572124481524,0.0
23.893633,-0.0030679572124481524,0.0
23.894634,-0.0030679572124481524,0.0
23.895636,-0.0030679572124481524,0.0
23.896639,-0.0030679572124481524,0.0
23.89764,-0.004601944545318489,0.0
23.898642,-0.004601944545318489,0.0
23.899645,-0.0030679572124481524,0.0
23.909973,-0.0030679572124481524,0.0
23.910975,-0.0030679572124481524,0.0
23.911976,-0.0030679572124481524,0.0
23.912977,-0.0030679572124481524,0.0
23.913979,-0.0030679572124481524,0.0
23.91498,-0.0030679572124481524,0.0
23.915981,-0.004601944545318489,0.0
23.916983,-0.004601944545318489,0.0
23.917984,-0.004601944545318489,0.0
23.918985,-0.0030679572124481524,0.0
23.919987,-0.0030679572124481524,0.0
23.920988,-0.0030679572124481524,0.0
23.921989,-0.0030679572124481524,0.0
23.922991,-0.0030679572124481524,0.0
23.923992,-0.0030679572124481524,0.0
23.924994,-0.004601944545318489,0.0
23.925995,-0.0030679572124481524,0.0
23.926996,-0.0030679572124481524,0.0
23.927998,-0.004601944545318489,0.0
23.929001,-0.0030679572124481524,0.0
23.930002,-0.0030679572124481524,0.0
23.931004,-0.004601944545318489,0.0
23.932007,-0.004601944545318489,0.0
23.933008,-0.004601944545318489,0.0
23.93401,-0.004601944545318489,0.0
23.935013,-0.0030679572124481524,0.0
23.936014,-0.0030679572124481524,0.0
23.937016,-0.0030679572124481524,0.0
23.938017,-0.0030679572124481524,0.0
23.939018,-0.004601944545318489,0.0
23.94002,-0.004601944545318489,0.0
23.941023,-0.004601944545318489,0.0
23.942024,-0.004601944545318489,0.0
23.943026,-0.0030679572124481524,0.0
23.944029,-0.0030679572124481524,0.0
23.94503,-0.0030679572124481524,0.0
23.946032,-0.0030679572124481524,0.0
23.947035,-0.0030679572124481524,0.0
23.948036,-0.004601944545318489,0.0
23.949038,-0.004601944545318489,0.0
23.950041,-0.0030679572124481524,0.0
23.951042,-0.004601944545318489,0.0
23.952044,-0.0030679572124481524,0.0
23.953045,-0.004601944545318489,0.0
23.954046,-0.004601944545318489,0.0
23.955048,-0.0030679572124481524,0.0
23.956051,-0.0030679572124481524,0.0
23.957052,-0.0030679572124481524,0.0
23.958054,-0.004601944545318489,0.0
23.959057,-0.004601944545318489,0.0
23.966444,-0.0030679572124481524,0.0
23.967445,-0.004601944545318489,0.0
23.968447,-0.004601944545318489,0.0
23.969448,-0.004601944545318489,0.0
23.970449,-0.0030679572124481524,0.0
23.971451,-0.0030679572124481524,0.0
23.972452,-0.004601944545318489,0.0
23.973454,-0.004601944545318489,0.0
23.974455,-0.0030679572124481524,0.0
23.975456,-0.004601944545318489,0.0
23.976458,-0.004601944545318489,0.0
23.977461,-0.0030679572124481524,0.0
23.978462,-0.0030679572124481524,0.0
23.979464,-0.0030679572124481524,0.0
23.980467,-0.004601944545318489,0.0
23.981468,-0.004601944545318489,0.0
23.98247,-0.004601944545318489,0.0
23.983473,-0.004601944545318489,0.0
23.984474,-0.004601944545318489,0.0
23.985476,-0.004601944545318489,0.0
23.986479,-0.0030679572124481524,0.0
23.98748,-0.0030679572124481524,0.0
23.988482,-0.0030679572124481524,0.0
23.989483,-0.004601944545318489,0.0
23.995581,-0.0030679572124481524,0.0
23.996582,-0.0030679572124481524,0.0
23.997583,-0.004601944545318489,0.0
23.998585,-0.004601944545318489,0.0
23.999586,-0.004601944545318489,0.0
24.000587,-0.004601944545318489,0.0
24.001589,-0.0030679572124481524,0.0
24.00259,-0.0030679572124481524,0.0
24.003592,-0.0030679572124481524,0.0
24.004595,-0.004601944545318489,0.0
24.005596,-0.0030679572124481524,0.0
24.006598,-0.0030679572124481524,0.0
24.007599,-0.004601944545318489,0.0
24.0086,-0.0030679572124481524,0.0
24.009602,-0.0030679572124481524,0.0
24.010605,-0.004601944545318489,0.0
24.011606,-0.004601944545318489,0.0
24.012608,-0.0030679572124481524,0.0
24.013611,-0.0030679572124481524,0.0
24.014612,-0.004601944545318489,0.0
24.015614,-0.004601944545318489,0.0
24.016617,-0.004601944545318489,0.0
24.017618,-0.0030679572124481524,0.0
24.01862,-0.004601944545318489,0.0
24.019623,-0.004601944545318489,0.0
24.020624,-0.004601944545318489,0.0
24.028008,-0.0030679572124481524,0.0
24.029009,-0.004601944545318489,0.0
24.03001,-0.0030679572124481524,0.0
24.031012,-0.0030679572124481524,0.0
24.032015,-0.0030679572124481524,0.0
24.033016,-0.0030679572124481524,0.0
24.034018,-0.004601944545318489,0.0
24.035021,-0.0030679572124481524,0.0
24.036022,-0.0030679572124481524,0.0
24.037024,-0.0030679572124481524,0.0
24.038027,-0.004601944545318489,0.0
24.039028,-0.004601944545318489,0.0
24.04003,-0.004601944545318489,0.0
24.041031,-0.004601944545318489,0.0
24.042032,-0.0030679572124481524,0.0
24.044573,-0.004601944545318489,0.0
24.045574,-0.004601944545318489,0.0
24.046576,-0.004601944545318489,0.0
24.047579,-0.0030679572124481524,0.0
24.04858,-0.0030679572124481524,0.0
24.049582,-0.0030679572124481524,0.0
24.050583,-0.004601944545318489,0.0
24.051584,-0.004601944545318489,0.0
24.052586,-0.0030679572124481524,0.0
24.053589,-0.0030679572124481524,0.0
24.05459,-0.0030679572124481524,0.0
24.055592,-0.004601944545318489,0.0
24.056595,-0.004601944545318489,0.0
24.057596,-0.0030679572124481524,0.0
24.058598,-0.004601944545318489,0.0
24.059601,-0.004601944545318489,0.0
24.060602,-0.004601944545318489,0.0
24.061604,-0.004601944545318489,0.0
24.062607,-0.004601944545318489,0.0
24.063608,-0.004601944545318489,0.0
24.06461,-0.004601944545318489,0.0
24.065611,-0.0030679572124481524,0.0
24.066612,-0.0030679572124481524,0.0
24.067614,-0.0030679572124481524,0.0
24.068617,-0.0030679572124481524,0.0
24.069618,-0.0030679572124481524,0.0
24.07062,-0.004601944545318489,0.0
24.071623,-0.004601944545318489,0.0
24.072624,-0.0030679572124481524,0.0
24.073626,-0.0030679572124481524,0.0
24.074629,-0.004601944545318489,0.0
24.07563,-0.0030679572124481524,0.0
24.076632,-0.0030679572124481524,0.0
24.077635,-0.004601944545318489,0.0
24.078636,-0.0030679572124481524,0.0
24.085878,-0.0030679572124481524,0.0
24.08688,-0.004601944545318489,0.0
24.087881,-0.004601944545318489,0.0
