t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel,a_belt_lp25,a_lin_x_lp25,a_lin_y_lp25,a_lin_z_lp25
0.254006,262.7051,-341.191406,2.142066,-0.090074,-9.07163,2.366668,0.889446,-0.074658,2.142066,-0.035547,1500.0,1,1500.0,0.19872614909913136,-0.08935597165504737,0.19872614909913136,0.0006409837314774456
0.256261,259.8047,-344.091797,0.44338,-0.086454,-9.500193,0.667982,0.903811,-0.503221,0.44338,-0.021182,1500.0,1,1500.0,0.22837178680247605,-0.08949932717906355,0.22837178680247605,-0.008413923024511728
0.258522,256.9043,-346.992187,-0.781254,-0.088299,-8.933964,-0.556652,0.791284,0.063008,-0.781254,-0.13371,1500.0,1,1500.0,0.2500770975347231,-0.0826915405203074,0.2500770975347231,-0.015866106527440076
0.26078,254.1797,-349.716797,0.309305,-0.088015,-9.14585,0.533907,1.086968,-0.148878,0.309305,0.161974,1500.0,1,1500.0,0.267080898515516,-0.06977277809883338,0.267080898515516,-0.01981904651954458
0.263036,251.2793,-352.617187,-0.255727,-0.088291,-9.239224,-0.031125,0.603339,-0.242252,-0.255727,-0.321655,1500.0,1,1500.0,0.27631361189498277,-0.05372251285368163,0.27631361189498277,-0.018998699817853397
0.265294,248.291,-355.605469,1.890675,-0.08585,-8.635885,2.115277,0.620098,0.361087,1.890675,-0.304895,1500.0,1,1500.0,0.26769972692226984,-0.03863108318692602,0.26769972692226984,-0.0136379779433625
0.267555,245.3027,-358.59375,0.367963,-0.083607,-9.175778,0.592565,1.392228,-0.178806,0.367963,0.467235,1500.0,1,1500.0,0.23548916175062928,-0.0283422148081367,0.23548916175062928,-0.007163310962441749
0.269813,241.875,-362.021484,-1.128413,-0.086809,-8.899248,-0.903811,0.884658,0.097724,-1.128413,-0.040336,1500.0,1,1500.0,0.18549219868428876,-0.02487192205429667,0.18549219868428876,-0.004540585192522607
0.272068,238.7109,-365.185547,1.020383,-0.086624,-8.746018,1.244985,1.195904,0.250954,1.020383,0.27091,1500.0,1,1500.0,0.12754530809791434,-0.02808674137730607,0.12754530809791434,-0.008186210358116838
0.274324,235.459,-368.4375,-0.088133,-0.085772,-9.385271,0.136469,0.915782,-0.388299,-0.088133,-0.009211,1500.0,1,1500.0,0.06758836405691254,-0.03567008670530488,0.06758836405691254,-0.01628320003522819
0.276587,231.7676,-372.128906,0.130937,-0.085742,-8.974665,0.355539,0.572214,0.022307,0.130937,-0.352779,1500.0,1,1500.0,0.011108149095979729,-0.04417737382241498,0.011108149095979729,-0.024143881658227187
0.278841,228.1641,-375.732422,-1.286431,-0.08694,-9.100361,-1.061828,0.990002,-0.103389,-1.286431,0.065009,1500.0,1,1500.0,-0.03548027482390222,-0.05128032265269495,-0.03548027482390222,-0.027247663551628363
0.281099,224.1211,-379.775391,0.473307,-0.088505,-9.083601,0.69791,0.797269,-0.086629,0.473307,-0.127724,1500.0,1,1500.0,-0.07160265187959576,-0.056285667616115274,-0.07160265187959576,-0.023429980395881782
0.283357,220.166,-383.730469,0.970104,-0.085908,-9.075222,1.194707,0.847547,-0.07825,0.970104,-0.077446,1500.0,1,1500.0,-0.10329831266347857,-0.05940835221274784,-0.10329831266347857,-0.012606662939860742
0.28562,216.123,-387.773437,0.074673,-0.085285,-9.126697,0.299275,0.730232,-0.129725,0.074673,-0.194762,1500.0,1,1500.0,-0.13174955793803875,-0.0616501557901708,-0.13174955793803875,0.0035507616699154087
0.287875,212.0801,-391.816406,-1.307979,-0.086759,-8.819042,-1.083376,1.01993,0.17793,-1.307979,0.094936,1500.0,1,1500.0,-0.1463002357797147,-0.06454536219738029,-0.1463002357797147,0.020958291114626063
0.290129,207.334,-396.5625,-2.356639,-0.091702,-9.069236,-2.132037,1.261744,-0.072264,-2.356639,0.336751,1500.0,1,1500.0,-0.13762173269125422,-0.06886684730566761,-0.13762173269125422,0.03392477610137062
0.292386,202.8516,-401.044922,1.513588,-0.090672,-9.096769,1.73819,1.137246,-0.099797,1.513588,0.212252,1500.0,1,1500.0,-0.11711686007746216,-0.07349582030217018,-0.11711686007746216,0.03839339617736307
0.294647,198.2812,-405.615234,1.818849,-0.085822,-9.289502,2.043451,1.130063,-0.29253,1.818849,0.20507,1500.0,1,1500.0,-0.11184409512226272,-0.07637073900374856,-0.11184409512226272,0.03498687480120107
0.296902,193.7109,-410.185547,-1.094895,-0.086941,-9.024943,-0.870292,0.512359,-0.027971,-1.094895,-0.412634,1500.0,1,1500.0,-0.13790018777226584,-0.07668381709947941,-0.13790018777226584,0.02864963850998799
0.29916,188.5254,-415.371094,-0.709428,-0.089062,-8.890868,-0.484826,0.77213,0.106104,-0.709428,-0.152863,1500.0,1,1500.0,-0.19195302156959804,-0.07535973546066951,-0.19195302156959804,0.024454557686242172
0.301417,184.043,-419.853516,1.442959,-0.087234,-9.135077,1.667562,1.270124,-0.138104,1.442959,0.345131,1500.0,1,1500.0,-0.26520032468607,-0.07321829547005076,-0.26520032468607,0.023802583626018076
0.303679,179.1211,-424.775391,0.458942,-0.083464,-9.167398,0.683545,0.794875,-0.170426,0.458942,-0.130118,1500.0,1,1500.0,-0.34440641097456326,-0.06988858078764364,-0.34440641097456326,0.025520511979399255
0.305934,174.1992,-429.697266,-3.220946,-0.08685,-9.165004,-2.996343,0.907402,-0.168032,-3.220946,-0.017591,1500.0,1,1500.0,-0.40351259773375076,-0.06520120484723411,-0.40351259773375076,0.028618028945037403
0.308188,169.8047,-434.091797,-1.457616,-0.09286,-8.871715,-1.233014,1.119289,0.125257,-1.457616,0.194296,1500.0,1,1500.0,-0.418435761378182,-0.06051324281392404,-0.418435761378182,0.03235943758908804
0.310447,164.5312,-439.365234,0.791736,-0.091983,-9.075222,1.016339,0.919373,-0.07825,0.791736,-0.00562,1500.0,1,1500.0,-0.3902703565226289,-0.05779009306138974,-0.3902703565226289,0.0360554833250871
0.312701,160.3125,-443.583984,-0.404167,-0.091345,-9.066842,-0.179565,0.738611,-0.06987,-0.404167,-0.186382,1500.0,1,1500.0,-0.34037245469454547,-0.058140060270057886,-0.34037245469454547,0.039418604871356365
0.31496,155.8301,-448.066406,-1.030251,-0.092947,-8.959103,-0.805649,1.088165,0.037869,-1.030251,0.163171,1500.0,1,1500.0,-0.291572604249783,-0.061711744087879994,-0.291572604249783,0.041437471567307316
0.317215,151.6992,-452.197266,0.827649,-0.09287,-9.003395,1.052252,1.125275,-0.006423,0.827649,0.200281,1500.0,1,1500.0,-0.2642719508043566,-0.0678234425019026,-0.2642719508043566,0.03990185184082087
0.31947,147.6562,-456.240234,2.18995,-0.088177,-9.252393,2.414552,1.161188,-0.255421,2.18995,0.236194,1500.0,1,1500.0,-0.27327373042170205,-0.07479179250514895,-0.27327373042170205,0.033661239088046545
0.321723,143.3496,-460.546875,-1.817944,-0.088187,-9.143456,-1.593341,0.818817,-0.146484,-1.817944,-0.106176,1500.0,1,1500.0,-0.3133819553969981,-0.08098900533152555,-0.3133819553969981,0.024767661542545005
0.323983,139.7461,-464.150391,-0.886599,-0.091466,-8.844181,-0.661997,0.749385,0.152791,-0.886599,-0.175608,1500.0,1,1500.0,-0.3594324152986423,-0.08606944058464674,-0.3594324152986423,0.01739684244299967
0.32624,135.9668,-467.929687,-0.096513,-0.092307,-9.131485,0.12809,0.954089,-0.134513,-0.096513,0.029096,1500.0,1,1500.0,-0.3860953363858019,-0.08992854744345588,-0.3860953363858019,0.014760282653779407
0.427903,13.4473,-590.449219,-0.412547,-0.134247,-9.342175,-0.187945,1.109712,-0.345203,-0.412547,0.184719,1500.0,1,1500.0,-0.3774583359022481,-0.09152162506479714,-0.3774583359022481,0.017956731476319317
0.430445,9.9316,-593.964844,-2.458392,-0.139934,-9.065644,-2.23379,0.44173,-0.068672,-2.458392,-0.483263,1500.0,1,1500.0,-0.32459430716257703,-0.09042766500983866,-0.32459430716257703,0.026973766882397315
0.432716,7.0312,-596.865234,-0.285654,-0.142535,-9.004593,-0.061052,1.16837,-0.007621,-0.285654,0.243377,1500.0,1,1500.0,-0.23232470231050256,-0.08840337487714095,-0.23232470231050256,0.04016147260579926
0.434972,4.2187,-599.677734,1.280153,-0.14119,-8.947132,1.504756,1.212663,0.04984,1.280153,0.28767,1500.0,1,1500.0,-0.12476425769686633,-0.0879929070946637,-0.12476425769686633,0.05362594856186112
0.437229,0.8789,-603.017578,0.863562,-0.13863,-9.159019,1.088165,1.217452,-0.162046,0.863562,0.292458,1500.0,1,1500.0,-0.030028775325423026,-0.09039765787254508,-0.030028775325423026,0.06433075955169662
