t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.402278,259.1895,-348.662109,1.627710,-9.984238,-8.617929,1.887828,0.581791,0.376863,1.627710,-0.315826,1969.65,1,1969.65
0.404539,256.2891,-351.562500,0.403076,-9.982382,-8.941146,0.663194,0.681150,0.053647,0.403076,-0.216466,1965.68,1,1965.68
0.406793,253.3887,-354.462891,-0.936480,-9.982116,-9.526528,-0.676362,1.149217,-0.531735,-0.936480,0.251600,1961.45,1,1961.45
0.409048,250.6641,-357.187500,-1.380605,-9.985846,-9.279925,-1.120486,1.468843,-0.285132,-1.380605,0.571226,1954.64,1,1954.64
0.411305,247.5879,-360.263672,1.827626,-9.983152,-8.731653,2.087744,0.756568,0.263140,1.827626,-0.141049,1949.79,1,1949.79
0.413566,244.5996,-363.251953,-0.920918,-9.981282,-9.054871,-0.660800,0.451307,-0.060078,-0.920918,-0.446310,1944.68,1,1944.68
0.415820,241.1719,-366.679687,-2.732131,-9.986068,-9.198523,-2.472013,1.408988,-0.203730,-2.732131,0.511371,1939.31,1,1939.31
0.418075,238.0078,-369.843750,2.475257,-9.986691,-8.793902,2.735375,1.468843,0.200891,2.475257,0.571226,1930.78,1,1930.78
0.420329,234.6680,-373.183594,1.809669,-9.981009,-9.308656,2.069787,0.984017,-0.313863,1.809669,0.086400,1924.77,1,1924.77
0.422588,230.8887,-376.962891,-2.303569,-9.982990,-9.276335,-2.043451,1.417367,-0.281542,-2.303569,0.519751,1918.50,1,1918.50
0.424844,227.4609,-380.390625,-0.124846,-9.986605,-8.712500,0.135272,1.316811,0.282293,-0.124846,0.419194,1911.98,1,1911.98
0.427102,223.2422,-384.609375,1.897058,-9.983625,-8.839393,2.157176,0.270545,0.155400,1.897058,-0.627072,1901.70,1,1901.70
0.429360,219.3750,-388.476562,-0.349901,-9.982981,-9.257181,-0.089783,0.214281,-0.262388,-0.349901,-0.683336,1894.52,1,1894.52
0.431622,215.2441,-392.607422,1.008809,-9.983683,-8.870518,1.268927,1.447295,0.124275,1.008809,0.549678,1887.08,1,1887.08
0.433879,210.8496,-397.001953,3.430544,-9.977904,-8.860941,3.690662,1.085770,0.133852,3.430544,0.188154,1879.37,1,1879.37
0.436134,206.2793,-401.572266,-1.945636,-9.977587,-9.568427,-1.685518,1.122881,-0.573634,-1.945636,0.225264,1867.33,1,1867.33
0.438388,201.5332,-406.318359,-2.128793,-9.982986,-9.271546,-1.868674,1.331176,-0.276753,-2.128793,0.433559,1858.97,1,1858.97
0.440650,197.1387,-410.712891,1.069861,-9.984117,-8.576031,1.329979,0.659603,0.418762,1.069861,-0.238014,1850.34,1,1850.34
0.442907,192.3047,-415.546875,3.197109,-9.978390,-8.898050,3.457227,0.294487,0.096743,3.197109,-0.603130,1841.45,1,1841.45
0.445161,187.4707,-420.380859,-0.621643,-9.976399,-9.386468,-0.361524,0.979228,-0.391675,-0.621643,0.081612,1827.62,1,1827.62
0.447416,182.6367,-425.214844,-2.616013,-9.981897,-9.300277,-2.355895,1.726219,-0.305484,-2.616013,0.828603,1818.07,1,1818.07
0.449501,177.9785,-429.873047,3.575393,-9.974442,-8.973468,3.835511,0.650026,0.021325,3.575393,-0.247591,1808.25,1,1808.25
0.451757,173.4082,-434.443359,1.710310,-9.967646,-9.076419,1.970428,0.574608,-0.081626,1.710310,-0.323008,1798.17,1,1798.17
0.454012,168.6621,-439.189453,-0.636008,-9.966750,-8.823831,-0.375890,1.049857,0.170962,-0.636008,0.152241,1782.55,1,1782.55
