t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.695968,11.6016,-952.294922,0.261421,-0.000426,-8.874108,0.486023,1.143231,0.122864,0.261421,0.218238,1500.00,1,1500.00
0.698224,8.5254,-955.371094,1.131713,0.001564,-9.357738,1.356315,1.357512,-0.360765,1.131713,0.432519,1500.00,1,1500.00
0.700489,5.6250,-958.271484,-0.622040,0.002106,-9.224859,-0.397437,1.122881,-0.227887,-0.622040,0.197887,1500.00,1,1500.00
0.702747,2.5488,-961.347656,-0.861460,0.000323,-8.886080,-0.636858,0.714669,0.110892,-0.861460,-0.210324,1500.00,1,1500.00
0.705004,359.5605,-964.335938,0.069885,-0.000073,-9.011775,0.294487,1.017536,-0.014803,0.069885,0.092542,1500.00,1,1500.00
0.707260,356.6602,-967.236328,-0.078556,-0.000210,-8.910022,0.146046,0.590171,0.086950,-0.078556,-0.334823,1500.00,1,1500.00
0.709516,353.5840,-970.312500,0.739064,0.000619,-8.850166,0.963666,0.718261,0.146806,0.739064,-0.206733,1500.00,1,1500.00
0.715076,346.3770,-977.519531,-0.086936,0.000135,-9.138668,0.137667,0.970849,-0.141696,-0.086936,0.045855,1500.00,1,1500.00
0.717332,343.4766,-980.419922,0.899475,0.001209,-9.151836,1.124078,0.896629,-0.154864,0.899475,-0.028365,1500.00,1,1500.00
0.719589,340.6641,-983.232422,1.082632,0.003937,-9.106346,1.307234,1.016339,-0.109374,1.082632,0.091345,1500.00,1,1500.00
0.721845,337.7637,-986.132813,-0.838715,0.002996,-9.113529,-0.614113,1.103727,-0.116557,-0.838715,0.178734,1500.00,1,1500.00
0.724114,334.7754,-989.121094,-1.431280,-0.000394,-8.809465,-1.206678,0.727837,0.187507,-1.431280,-0.197156,1500.00,1,1500.00
0.726371,332.0508,-991.845703,-0.799211,-0.003056,-9.024943,-0.574608,0.602142,-0.027971,-0.799211,-0.322852,1500.00,1,1500.00
