t_s,enc_deg,acc_deg,a_belt,v_belt,a_raw_x,a_raw_y,a_raw_z,a_lin_x,a_lin_y,a_lin_z,cmd_sps,cmd_dir,cmd_vel
0.327698,310.0781,-213.310547,-0.086792,-0.279379,-9.130288,0.159214,1.095347,-0.135873,-0.086792,0.225671,0.00,1,0.00
0.329954,309.9023,-213.486328,-0.374096,-0.279876,-9.143456,-0.128090,0.919373,-0.149041,-0.374096,0.049697,0.00,1,0.00
0.332208,310.0781,-213.310547,-0.481835,-0.280903,-9.070433,-0.235829,0.763750,-0.076017,-0.481835,-0.105926,0.00,1,0.00
0.334468,310.0781,-213.310547,-0.275934,-0.281660,-8.992621,-0.029928,0.757765,0.001794,-0.275934,-0.111912,0.00,1,0.00
0.336722,309.9902,-213.398437,-0.083201,-0.281972,-9.120711,0.162806,0.986411,-0.126296,-0.083201,0.116734,0.00,1,0.00
0.338977,309.9902,-213.398437,0.036509,-0.282027,-9.138668,0.282516,1.130063,-0.144253,0.036509,0.260386,0.00,1,0.00
0.341232,309.9902,-213.398437,0.041298,-0.281920,-9.132683,0.287304,1.055843,-0.138268,0.041298,0.186166,0.00,1,0.00
0.343493,310.0781,-213.310547,-0.242415,-0.282264,-9.078813,0.003591,0.936133,-0.084397,-0.242415,0.066456,0.00,1,0.00
0.345748,310.0781,-213.310547,-0.539296,-0.283338,-8.979453,-0.293290,0.992397,0.014962,-0.539296,0.122720,0.00,1,0.00
0.348003,309.9023,-213.486328,-0.486624,-0.284504,-9.178172,-0.240617,1.017536,-0.183757,-0.486624,0.147859,0.00,1,0.00
0.350258,309.9902,-213.398437,-0.372899,-0.285450,-9.271546,-0.126893,0.980426,-0.277131,-0.372899,0.110749,0.00,1,0.00
0.352519,310.0781,-213.310547,-0.187349,-0.285961,-9.142260,0.058658,0.835576,-0.147844,-0.187349,-0.034100,0.00,1,0.00
0.354774,310.0781,-213.310547,-0.417192,-0.286594,-9.032125,-0.171185,0.812831,-0.037710,-0.417192,-0.056845,0.00,1,0.00
